Program,Year,Period,Region,Commodity,Data Item,Domain Category,Value,MOA
SURVEY,1993,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (BUTYLATE = 41405)",5441000,8
SURVEY,1993,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (BUTYLATE = 41405)",3.87,8
SURVEY,1993,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (CYANAZINE = 100101)",26453000,5
SURVEY,1993,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (CYANAZINE = 100101)",1.98,5
SURVEY,1993,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (DICAMBA = 29801)",4598000,4
SURVEY,1993,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (DICAMBA = 29801)",0.33,4
SURVEY,1993,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (EPTC = 41401)",11098000,8
SURVEY,1993,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (EPTC = 41401)",4.04,8
SURVEY,1993,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (GLYPHOSATE = 417300)",1973000,9
SURVEY,1993,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (GLYPHOSATE = 417300)",0.56,9
SURVEY,1993,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (IMAZETHAPYR = 128922)",11000,2
SURVEY,1993,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (IMAZETHAPYR = 128922)",0.06,2
SURVEY,1993,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (METOLACHLOR = 108801)",39026000,15
SURVEY,1993,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (METOLACHLOR = 108801)",1.83,15
SURVEY,1993,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (METRIBUZIN = 101101)",46000,5
SURVEY,1993,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (METRIBUZIN = 101101)",0.18,5
SURVEY,1993,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (NICOSULFURON = 129008)",165000,2
SURVEY,1993,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (NICOSULFURON = 129008)",0.03,2
SURVEY,1993,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)",630000,22
SURVEY,1993,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)",0.53,22
